,Unnamed: 0,4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV),SMILES,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
235,235,NH-CO-O-C6H4,3.234,1.007,4.241,3.81,NC(=O)OC1=CC=CC=C1,137.047678464,1.3,1.9,2.4,130.082,0.41050859577043486,0.40946271243598786,0.40946271243598786,-0.41050859577043486,137.13799999999998,52.0,0.544431635429921,0.981315481491353,0.008483843683519246,0.18621547369949437,0.9655893173216222,113.27302444458934,576.124811845811,597.7833535649177,2.227899346290388,0.17685497928512647
236,236,CO-C4H2S-O-CS,4.444,0.928,5.372,1.996,C(=O)C1=CSC=C1OC(=S),171.965271368,1.6,2.4,3.0,168.19799999999998,0.4519645514543205,0.15414854666442568,0.15414854666442568,-0.4519645514543205,172.23,52.0,0.46674856488631894,0.9755859201354805,0.0017214421247356256,0.3095991549351705,0.7306632062937342,216.79130306286916,800.6890206969721,1091.7597788746389,2.525994237511056,0.03589606562811681
237,237,C6H4-C4H2S-C4H2S-O,4.057,0.447,4.505,2.234,C1=CC=CC=C1C1=CSC=C1C1=CSC=C1O,258.01730694,0.7058823529411765,1.3529411764705883,2.0588235294117645,248.28699999999995,0.5064313675613146,0.13362908770875798,0.13362908770875798,-0.5064313675613146,258.36699999999996,84.0,0.1511398953002991,0.8326063506762814,0.0005579773468565116,0.5663607475412696,0.6532378583854573,1068.5802803437668,1161.2032180335686,1916.0996067755998,2.9005461064775893,0.21879714288343904
238,238,CH2-CO-C4H2S-C4H2S,3.971,0.621,4.592,2.433,CC(=O)C1=CSC=C1C1=CSC=C1,208.001656876,1.2307692307692308,2.076923076923077,2.6923076923076925,200.24299999999997,0.29445590665720045,0.16076226036013275,0.16076226036013275,-0.29445590665720045,208.30700000000002,66.0,0.3504878121794216,0.9506930512824355,0.0017806730334075282,0.30610099202644425,0.7448577954480989,426.50806766792414,1034.767407354002,1385.997105000571,2.661331466325771,0.09455320692919919
239,239,CH2-CO-CH2-CS,3.003,0.597,3.6,3.159,CC(=O)CC(=S),102.013935812,2.0,2.5,2.5,96.10999999999999,0.2996473208050177,0.13393219660875566,0.13393219660875566,-0.2996473208050177,102.15799999999999,34.0,0.6444064623641369,0.9593711727576203,0.01216328707419281,0.19188668730757966,0.9403666553965004,49.72907503438611,245.08404707956862,270.6128176717255,1.8225776707265777,0.08507296395298442
240,240,NH-C6H4-C4H2S-CS,5.528,0.669,6.197,1.939,NC1=CC=CC=C1C1=CSC=C1C(=S),219.017641288,1.1428571428571428,1.9285714285714286,2.642857142857143,210.26199999999997,0.3982251717656258,0.039373026538335916,0.039373026538335916,-0.3982251717656258,219.334,70.0,0.20837574898043357,0.9151687314718602,0.0010137940143940605,0.42683020138293765,0.6978651393263037,624.2765679696284,1073.3107808779191,1434.706933582384,2.6899513905373755,0.1409895939300579
241,241,CH2-C4H2S-C4H2S-C4H2S,3.926,0.154,4.08,2.297,CC1=CSC=C1C1=CSC=C1C1=CSC=C1,261.99446332,0.75,1.5,2.1875,252.34399999999997,0.15178194676050633,0.0013152213411866552,0.0013152213411866552,-0.15178194676050633,262.424,80.0,0.1756618826508289,0.8432909986907335,0.0005676236018485498,0.5434679839433267,0.600020708631692,1067.1636279613072,1192.7820082958174,1962.3442751995342,2.881550909141402,0.25095622228742387
242,242,NH-C6H4-CS-O,5.334,2.608,7.942,1.401,NC1=CC=CC=C1C(=S)O,153.024834844,1.4,2.0,2.4,146.14999999999998,0.4984661128350767,0.19025652260862577,0.19025652260862577,-0.4984661128350767,153.206,52.0,0.31439406347177784,0.9400971599367445,0.0038311313833588683,0.3399407985840343,0.8728984875643825,220.25941572164115,523.5999237289763,635.4335309083634,2.1646295385638306,0.038561996243143236
243,243,NH-C6H4-CO-C4H2S,4.188,1.393,5.581,2.569,NC1=CC=CC=C1C(=O)C1=CSC=C1,203.040484908,1.2142857142857142,2.0,2.642857142857143,194.19399999999996,0.3981289891653759,0.19542845915099424,0.19542845915099424,-0.3981289891653759,203.26600000000002,70.0,0.5131943057262783,0.9749368881398258,0.002652960043549779,0.2152132191075826,0.8091173679337982,305.70878117576683,1236.1775373380347,1503.4598776150851,2.794880766506368,0.02036069186284153
244,244,CO-C4H2S-CO-CS,4.481,0.964,5.445,1.535,C(=O)C1=CSC=C1C(=O)C(=S),183.965271368,1.5454545454545454,2.272727272727273,2.8181818181818183,180.20899999999997,0.2978381369035477,0.1975653171147995,0.1975653171147995,-0.2978381369035477,184.24099999999999,56.0,0.32149237333774405,0.9342546109230205,0.0017384989760440375,0.3405836748690738,0.6408182374686532,440.38358372769767,861.523120312026,1013.9377726234247,2.4492981219774204,6.164364135139819e-10
