,SMILES,4-block polymer,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,Band Gap (eV),Band Gap Uncertainty (eV),Total Dielectric Constant,Total Dielectric Constant Uncertainty,Probability of Improvement
289,C(=O)CC1=CC=CC=C1C(=S),CO-CH2-C6H4-CS,164.029585876,1.3636363636363635,2.090909090909091,2.727272727272727,156.16499999999996,0.30302797324058334,0.12388353658391715,0.12388353658391715,-0.30302797324058334,164.22899999999998,56.0,0.16937464225539067,0.8918488747623876,0.0018419882680329907,0.42384800313489496,0.6146305558521467,395.6055588356531,500.5103042585222,902.3350746817606,2.301937640470521,0.165628561455156,2.4937000000000014,0.6435609401063505,4.672589999999999,0.7795377903121733,1.6597613005561656e-05
728,C1=CC=CC=C1C1=CC=CC=C1C(=O)C(=S),C6H4-C6H4-CO-CS,226.04523594,0.9375,1.5625,2.25,216.21999999999997,0.28833009564877005,0.1966285164984436,0.1966285164984436,-0.28833009564877005,226.29999999999998,78.0,0.3692823399400626,0.8784143265813537,0.0015181379051306088,0.28884455310414564,0.7596478317361546,754.2300435412209,1340.5669145257955,1713.3859876851595,2.9194469420088565,0.0882963744580541,2.27255,0.6716053727140607,5.40145,0.9267674780702873,1.630306432487779e-05
444,C(=S)OC1=CC=CC=C1C(=O),CS-O-C6H4-CO,166.008850432,1.3636363636363635,2.090909090909091,2.727272727272727,160.153,0.4528456071159728,0.15401083680765085,0.15401083680765085,-0.4528456071159728,166.20099999999996,56.0,0.3404350760967014,0.9582087017146246,0.003498797771285346,0.2914764658580978,0.7512588467922383,290.7785403776407,770.1221508982528,900.4923512225679,2.4051530244348944,0.0410126950275105,2.6247799999999977,0.6173929434283119,4.52033,0.7880767431827499,1.6212852016214634e-05
265,C(=O)C1=CSC=C1C(=S)C,CO-C4H2S-CS-CH2,169.986006812,1.7,2.4,2.8,164.20999999999998,0.29783996839471677,0.15103114254214003,0.15103114254214003,-0.29783996839471677,170.25799999999998,52.0,0.25808892247829746,0.906068103289493,0.001986999943659072,0.44181303551595774,0.7872169068192779,268.03389888965535,572.834934195784,763.0716424476119,2.2225354439425145,0.24578346401891132,2.3179700000000003,0.6696369753417367,5.049050000000001,0.87727299333277,1.618198341818243e-05
6,C1=CSC=C1C1=CC=CC=C1C(=O)N,C4H2S-C6H4-CO-NH,203.040484908,1.2142857142857142,2.0,2.642857142857143,194.19399999999996,0.365580287364676,0.24882774568754734,0.24882774568754734,-0.365580287364676,203.26599999999996,70.0,0.33351505442346213,0.9487116596357001,0.001833620425528219,0.31962753031396335,0.7410986232791426,414.350425064772,965.0537099072458,1285.7602759513068,2.6176719217653766,0.09431573210358464,2.44446,0.6480393058462894,4.791669999999999,0.8266834196885058,1.6081300274176537e-05
714,C1=CC=CC=C1C1=CSC=C1C(=O)C1=CC=CC=C1,C6H4-C4H2S-CO-C6H4,264.060886004,0.7894736842105263,1.4210526315789473,2.1052631578947367,252.25299999999993,0.2885590526721349,0.19398462755929263,0.19398462755929263,-0.2885590526721349,264.349,92.0,0.31244552289371325,0.9518930670290849,0.0006380639063618261,0.30386450792310654,0.7282925298580951,810.0385216196248,1926.6098462089972,2615.6572069899144,3.2022583166889786,0.1006370566085654,1.9983599999999992,0.7341278836510041,5.4566099999999995,0.7560360439754528,1.5768843228240388e-05
509,NC(=S)C1=CSC=C1C1=CC=CC=C1,NH-CS-C4H2S-C6H4,219.017641288,1.1428571428571428,1.8571428571428572,2.5,210.26199999999997,0.3894062644213616,0.10496054710538472,0.10496054710538472,-0.3894062644213616,219.334,70.0,0.19628496795361075,0.8940739674169728,0.0010884120415863266,0.4359579379682199,0.6649848836199729,617.8862757652363,975.5525811788909,1398.2395649989912,2.686745100464903,0.1855850182369256,2.411380000000001,0.6550217439450807,4.818349999999995,0.7566410481136138,1.5701782254945875e-05
375,C(=S)C1=CC=CC=C1CO,CS-C6H4-CH2-O,152.029585876,1.4,2.1,2.6,144.15399999999997,0.39165734038645167,0.0687455991880225,0.0687455991880225,-0.39165734038645167,152.21799999999996,52.0,0.17562729249557962,0.912678941828678,0.0020292794887264176,0.4253418029261301,0.6699816368173612,270.9049290782447,465.79394085101836,743.0345635272321,2.2233831349194983,0.07622974035734494,2.640280000000002,0.6041304671397064,4.649130000000002,0.7910454589117238,1.54226771732406e-05
958,C(=S)C(=O)C1=CC=CC=C1C(=S),CS-CO-C6H4-CS,193.986006812,1.25,1.9166666666666667,2.5,188.23199999999997,0.2883299632452792,0.19663624030851426,0.19663624030851426,-0.2883299632452792,194.27999999999997,60.0,0.28049888821006763,0.9360842268786632,0.001180503156699556,0.3733146229015434,0.6607188866887287,411.12859338961186,810.3742414253724,1155.532111224279,2.511693400307361,0.0004262205385926583,2.460049999999999,0.6500599775896293,4.617019999999998,0.8594908150896998,1.530703417034938e-05
590,OC(=O)C1=CC=CC=C1C1=CSC=C1,O-CO-C6H4-C4H2S,204.024500496,1.2142857142857142,2.0,2.642857142857143,196.18599999999998,0.4776232751028214,0.3358162641638896,0.3358162641638896,-0.4776232751028214,204.25,70.0,0.32609631629649294,0.9453837372162248,0.0016952881114192673,0.32130843438673207,0.7412570361869717,414.6104621657426,954.8104252832059,1303.3340453916,2.6383595123291657,0.09003190823679436,2.54049,0.627439468103825,4.68308,0.7805800976717527,1.516350466722032e-05
